,MAE,STD,base_estimator,learning_rate,loss,n_estimators
55,-1353982.1336640816,66629.74428795002,"DecisionTreeRegressor(max_depth=30)",0.5,linear,25
56,-1333392.3622459732,66232.29830812158,"DecisionTreeRegressor(max_depth=30)",0.5,linear,50
57,-1420335.8801040314,60422.86312628304,"DecisionTreeRegressor(max_depth=30)",0.5,square,10
58,-1355477.8670978867,63515.30957978802,"DecisionTreeRegressor(max_depth=30)",0.5,square,25
59,-1332456.2026943406,68581.93480530746,"DecisionTreeRegressor(max_depth=30)",0.5,square,50
60,-1439775.8364211195,66677.0327157093,"DecisionTreeRegressor(max_depth=30)",0.5,exponential,10
61,-1354260.9026495419,65699.10230833254,"DecisionTreeRegressor(max_depth=30)",0.5,exponential,25
62,-1330042.1053658533,62854.975179914436,"DecisionTreeRegressor(max_depth=30)",0.5,exponential,50
63,-1441525.3220913992,63093.12953419005,"DecisionTreeRegressor(max_depth=30)",0.75,linear,10
64,-1354233.8547061817,60625.29852837288,"DecisionTreeRegressor(max_depth=30)",0.75,linear,25
65,-1339814.7556681463,66445.03684154594,"DecisionTreeRegressor(max_depth=30)",0.75,linear,50
66,-1433520.8603114008,58714.92335780744,"DecisionTreeRegressor(max_depth=30)",0.75,square,10
67,-1357660.319030585,63242.03531667376,"DecisionTreeRegressor(max_depth=30)",0.75,square,25
68,-1332513.6824541055,62618.40559290975,"DecisionTreeRegressor(max_depth=30)",0.75,square,50
69,-1433682.6103510186,71911.43113325388,"DecisionTreeRegressor(max_depth=30)",0.75,exponential,10
70,-1347428.6941045497,61127.582564773664,"DecisionTreeRegressor(max_depth=30)",0.75,exponential,25
71,-1338119.4652563827,62648.566167910925,"DecisionTreeRegressor(max_depth=30)",0.75,exponential,50
72,-1446453.7992910955,59212.86117966815,"DecisionTreeRegressor(max_depth=30)",1.0,linear,10
73,-1357942.7425619822,66186.04945520568,"DecisionTreeRegressor(max_depth=30)",1.0,linear,25
74,-1335591.3219127476,57002.830411461764,"DecisionTreeRegressor(max_depth=30)",1.0,linear,50
75,-1447275.1253526006,72667.30339424372,"DecisionTreeRegressor(max_depth=30)",1.0,square,10
76,-1361208.0464694,63385.95690872174,"DecisionTreeRegressor(max_depth=30)",1.0,square,25
77,-1359988.4315512695,67921.20435217503,"DecisionTreeRegressor(max_depth=30)",1.0,square,50
78,-1460034.3477554878,63280.07551406708,"DecisionTreeRegressor(max_depth=30)",1.0,exponential,10
79,-1360290.956520626,63691.53189365947,"DecisionTreeRegressor(max_depth=30)",1.0,exponential,25
80,-1329327.2401753247,61059.76300317447,"DecisionTreeRegressor(max_depth=30)",1.0,exponential,50
